"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"DBYGESKU","journalArticle","2015","Gao, Xueping; Xu, Liping; Zhang, Chen","Modelling the effect of water diversion projects on renewal capacity in an urban artificial lake in China","JOURNAL OF HYDROINFORMATICS","","1464-7141","10.2166/hydro.2015.004","","To improve the water environment, manual water diversion projects were scheduled to bring freshwater to an urban artificial lake to dilute and divert pollutants out of the lake. A three-dimensional numerical model was used to study the effect of diversion schemes on the transport of dissolved substances by using concepts of water renewal time and water age. The model results showed that the impact of diversion schemes on transport processes was strongly influenced by hydrodynamic conditions induced by inflow/outflow discharges. Shorter water timescales occupied the west and east lake, implying a faster water renewal occurrence therein. Water ages were highly variable, both spatially and temporally. Longer water age was exhibited in the inner lake and bays. An exchange rate of 89.3% was obtained at the 5 m(3)/s discharge condition under 60 days' duration, with integral renewal time of approximately 50 days. The distribution of water age showed that it only took less than 10 days for the substance discharged at the inlets to be transported to the outlets. The results offer useful information for understanding the efficiency of water exchange by diversion projects and can be used to estimate the water renewal capacity for environmental assessment purposes.","2015-11","2021-10-08 06:36:27","2021-10-08 13:43:00","","990-1002","","6","17","","","","","","","","","","","","","","WOS:000371777100010","","","","<p>为改善水环境，拟进行人工引水工程，将淡水引入城市人工湖，稀释并引出湖中污染物。利用三维数值模型，利用水更新时间和水龄的概念，研究导流方案对溶解物质迁移的影响。模型结果表明，引流方案对运输过程的影响受到流入/流出排放引起的水动力条件的强烈影响。较短的水时间尺度占据了西湖和东湖，这意味着其中发生了更快的水更新。水时代在空间和时间上都有很大的变化。在内湖和海湾中表现出更长的水龄。在 5 m(3)/s 排放条件下 60 天的持续时间下获得了 89.3%的交换率，积分更新时间约为 50 天。水龄分布表明，从入口排放的物质运到出口只用了不到10天的时间。结果为了解引水工程的换水效率提供了有用的信息，并可用于估计水更新能力以进行环境评估。</p>","/Users/yulong/Zotero/storage/MN6E4DD5/Gao et al. - 2015 - Modelling the effect of water diversion projects o.pdf","","{index: renewal time}; {index: water age}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HT9GWIID","journalArticle","2021","Luo, Chongxin; Lin, Lei; Shi, Jie; Liu, Zhe; Cai, Zhongya; Guo, Xinyu; Gao, Huiwang","Seasonal variations in the water residence time in the Bohai Sea using 3D hydrodynamic model study and the adjoint method","OCEAN DYNAMICS","","1616-7341","10.1007/s10236-020-01438-5","","The Bohai Sea is a large, semi-enclosed bay of China with a transport timescale of more than 1 year. Residence time (RT) is an important indicator used to determine the water exchange rate of coastal oceans, and it has a significant influence on coastal ecosystems and the environment. In this study, the RT and its seasonal variability within the Bohai Sea were investigated using a 3-D hydrodynamic model and the adjoint method of the RT. The model results show that the annual mean RT in the Bohai Sea is 3.43 years, and the RT increases from the Bohai Strait to the northwestern coast. The seasonal variability of the RT averaged over the entire Bohai Sea is not obvious; however, the regional RT has a significant seasonal variation, which could be more than 290% on average. When the monsoon winds were removed from the model, the sensitivity experiment showed an annual mean RT increase of similar to 90% with negligible seasonal variations in most areas of the Bohai Sea. The wind-induced residual current controls the seasonal variation in ocean circulation and induces the seasonal variability in RT; thus, monsoon winds play a dominant role in the seasonal variations of the water exchange rate in the Bohai Sea. Sensitivity experiments also suggest that tides can slow the water exchange rate, whereas the baroclinic processes and river runoff can accelerate the water exchange rate in the region near the Yellow River estuary. This study highlights the critical role of monsoon winds in affecting seasonal variabilities in the coastal transport timescale and exchange rate.","2021-02","2021-10-08 06:36:27","2021-10-08 14:54:18","","157-173","","2","71","","","","","","","","","","","","","","WOS:000605121100001","","","","<p>渤海是中国的一个大型半封闭海湾，运输时间跨度超过 1 年。滞留时间（RT）是决定近海海洋水交换率的重要指标，对近海生态系统和环境有显着影响。在这项研究中，使用 3-D 流体动力学模型和 RT 的伴随方法研究了渤海内的 RT 及其季节性变化。模型结果表明，渤海的年平均RT为3.43年，RT从渤海海峡向西北海岸增加。整个渤海平均RT的季节性变化不明显；然而，区域 RT 具有显着的季节性变化，平均可能超过 290%。当从模型中去除季风时，敏感性实验表明，渤海大部分地区的年平均 RT 增加接近 90%，季节性变化可忽略不计。风致残流控制海洋环流的季节变化，诱发 RT 的季节变化；因此，季风在渤海水交换率的季节变化中起主导作用。敏感性实验还表明，潮汐可以减缓水的交换速度，而斜压过程和河流径流可以加快黄河口附近地区的水交换速度。这项研究强调了季风在影响沿海运输时间尺度和汇率的季节性变化方面的关键作用。</p>","/Users/yulong/Zotero/storage/LKKFH2FS/Luo et al. - 2021 - Seasonal variations in the water residence time in.pdf","","{index: residence time}; {method: adjoint method}; {site: Bohai Sea}; {site: semi-enclosed bay}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F4GRRK6S","journalArticle","2020","Hong, Bo; Wang, Guangyu; Xu, Hongzhou; Wang, Dongxiao","Study on the Transport of Terrestrial Dissolved Substances in the Pearl River Estuary Using Passive Tracers","WATER","","2073-4441","10.3390/w12051235","","Highly populated river deltas are experiencing marine environment degradation resulting from the tremendous input of terrestrial dissolved substances (TeDS). The Pearl River Delta is one of the deltas with degradation of the water quality and ecological condition. The Pearl River Estuary (PRE) was investigated to reveal the fate and transport timescales of TeDS in order to provide guidance on water resource management and pollutant transport prediction. By using passive tracers in a calibrated 3D numerical model, the TeDS transports from five different outlet groups were investigated systematically. The TeDS transport time was computed by using the concept of water age, which is a measure of the time that has elapsed since the tracer was transported from the upstream boundary to the downstream concerned area. The tracer impacted area was defined by the area with tracer concentrations > 0.2 (arbitrary unit). The domains that were impacted by the tracer coming from each outlet group were identified separately. In the wet season, the impacted area was larger than in other seasons. The most prominent variations appeared in the Jiaomen-Hengmen-Hongqili (JHH) and Modaomen (MD) outlets. The hydrodynamic conditions controlled the offshore spreading of the TeDS. Assuming the TeDS were conservative, it took approximately 10-20 days for the TeDS to be transported from the head water to the entrance of the outlet. For the TeDS coming from the head water of the Humen outlet, it took approximately 40 (80) days for the TeDS to be transported out of the mouth of the Lingding Bay during the wet (dry) season. For the case of the TeDS coming from the head water of the JHH outlets, it took approximately 20 (40) days for the TeDS to be transported out of the Lingding Bay during the wet (dry) season. For the MD, Jiti and Yamen-Hutiao outlets, it usually took approximately 10 days for the TeDS to be transported from the head water to the inner shelf. The correlation coefficient between the river flow and tracer concentrations was 0.78, and between the river flow and transport time it was -0.70 at a station in the lower Lingding Bay. At the estuary mouth, the impacts of other forcing fields got stronger.","2020-05","2021-10-08 06:36:27","2021-10-09 15:14:06","","","","5","12","","","","","","","","","","","","","","WOS:000555915200014","","","","<p>由于陆地溶解物质 (TeDS) 的大量输入，人口稠密的河流三角洲正在经历海洋环境退化。珠江三角洲是水质和生态状况恶化的三角洲之一。对珠江口 (PRE) 进行了调查，以揭示 TeDS 的归宿和运输时间尺度，以便为水资源管理和污染物运输预测提供指导。通过在校准的 3D 数值模型中使用被动示踪剂，系统地研究了来自五个不同出口组的 TeDS 传输。 TeDS 传输时间是通过使用水龄的概念计算的，水龄是对示踪剂从上游边界传输到下游相关区域所经过的时间的度量。示踪剂影响区域定义为示踪剂浓度 &gt; 0.2（任意单位）的区域。受来自每个插座组的示踪剂影响的域被单独确定。雨季受灾面积大于其他季节。最显着的变化出现在角门-横门-红旗里（JHH）和磨刀门（MD）网点。水动力条件控制了 TeDS 的海上扩散。假设 TeDS 是保守的，将 TeDS 从源头水输送到出口入口大约需要 10-20 天。对于来自虎门出水口源头水的 TeDS，在雨（干）季将 TeDS 运出岭顶湾口需要大约 40（80）天。对于来自 JHH 出口源头水的 TeDS，在雨（干）季将 TeDS 运出岭顶湾需要大约 20（40）天。对于MD、吉提和衙门-虎条网点，TeDS从源头水运到内架通常需要10天左右的时间。河流流量与示踪剂浓度之间的相关系数为0.78，河流流量与运输时间之间的相关系数为-0.70。在河口，其他强迫场的影响更加强烈。</p>","/Users/yulong/Zotero/storage/LJPE4UNW/Hong et al. - 2020 - Study on the Transport of Terrestrial Dissolved Su.pdf","","{index: water age}; {method: CART}; {method: passive particle tracers}; {model: EFDC}; {model: HEM-3D}; {site: Pearl River Estuary}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JQXVUNXV","journalArticle","2016","Gao, Xueping; Xu, Liping; Zhang, Chen","Estimating renewal timescales with residence time and connectivity in an urban man-made lake in China","ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH","","0944-1344","10.1007/s11356-016-6569-5","","Residence times and connectivity are computed for 12 subregions in an urban man-made lake in China using a high-resolution tracer-transport model. The renewal timescales are explicitly defined and computed for two groups of four freshwater inflow scenarios related to water diversion projects. First, the timescale values are computed and compared using different computational criteria for the upper limit of integration in the residence time equation. The sensitivity analysis suggests that a calculation time of 300 days is necessary to satisfy the relative error (0.001) and 5 % cutoff value criteria. Secondly, the residence times can range from 1.5 to 102 and 1.0 to 66 days under low and high flow conditions, respectively. Water in the inner lake would reside in the lake for less than 66 days prior to exiting the region of interest. The timescale values can be applied to impact studies that investigate the extent of sudden water pollution events that initially affect a subdomain of a lake. Finally, the lacustrine residence times are decomposed into the different subregion residence times, resulting in a connectivity matrix. This matrix can illustrate preferential connections among the individual subregions and reveal hidden patterns relating to local hydrodynamics in the lake.","2016-07","2021-10-08 06:36:28","2021-10-09 14:54:47","","13973-13983","","14","23","","","","","","","","","","","","","","WOS:000379553500035","","","","<p>使用高分辨率示踪剂传输模型计算了中国城市人造湖中 12 个子区域的停留时间和连通性。对于与调水项目相关的两组四个淡水流入情景，明确定义和计算更新时间尺度。首先，使用停留时间方程中积分上限的不同计算标准来计算和比较时间尺度值。敏感性分析表明，需要 300 天的计算时间才能满足相对误差 (0.001) 和 5% 临界值标准。其次，在低流量和高流量条件下，停留时间可以分别为 1.5 到 102 天和 1.0 到 66 天。在离开感兴趣区域之前，内湖中的水将在湖中停留不到 66 天。时间尺度值可应用于影响研究，这些研究调查最初影响湖泊子域的突发水污染事件的程度。最后，将湖相停留时间分解为不同的子区域停留时间，得到连通矩阵。该矩阵可以说明各个子区域之间的优先联系，并揭示与湖中局部流体动力学相关的隐藏模式。</p>","/Users/yulong/Zotero/storage/J6YBHIE5/Gao et al. - 2016 - Estimating renewal timescales with residence time .pdf","","{index: residence time}; {method: remnant fuction}; {method: tracer}; {model: EFDC}; {site: Dragon Lake}; renewal timescales","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STZNXZIJ","journalArticle","2012","Liu, Zhe; Wang, Haiyan; Guo, Xinyu; Wang, Qiang; Gao, Huiwang","The age of Yellow River water in the Bohai Sea","JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS","","2169-9275","10.1029/2012JC008263","","To quantitatively understand the transport timescales of dissolved material discharged from large rivers into a semienclosed sea, the age of Yellow River water in the Bohai Sea was calculated with the constituent-oriented age and residence time theory (CART) and particle-tracking method. Yellow River water has a mean age of 3.0 years for the entire Bohai Sea. The spatial variation of the water age is significant: 1.2 years near the Yellow River estuary but 3.9 years in the Liaodong Bay. However, the temporal variation in water age is insignificant. The water particles released at the river mouth need only several days to reach the estuary area. The great water age (1.2 years) near the Yellow River estuary is caused by the presence of old water particles that initially left this area but returned to this area again. Without the reentry of Yellow River water from the Yellow Sea to the Bohai Sea, the mean age of Yellow River water in the entire Bohai Sea decreases to 1.2 years. Calculations without tidal forcing give a reduction in water age by more than 50%, suggesting that tidal forcing plays the most dominant role in controlling the age of Yellow River water in the Bohai Sea. Calculations without winds give an increase in water age by 20-30%, suggesting that wind forcing is secondary factor to the age of Yellow River water. Changes in discharge of the Yellow River and in thermal stratification have limited influence on the age of Yellow River water.","2012-11-08","2021-10-08 06:36:29","2021-10-08 15:24:45","","","","","117","","","","","","","","","","","","","","WOS:000310966300004","","","","<p>为定量了解大河排入半封闭海中溶解物质的运移时间尺度，采用面向成分的年龄和停留时间理论（CART）和粒子追踪方法计算了渤海黄河水的年龄。整个渤海的黄河水平均年龄为3.0年。水龄空间变化显着：黄河口附近为1.2年，辽东湾为3.9年。然而，水龄的时间变化并不显着。河口释放的水颗粒只需要几天时间就可以到达河口地区。黄河口附近的大水时代（1.2年）是由最初离开该地区但又返回该地区的旧水颗粒的存在造成的。如果没有黄河水从黄海再入渤海，整个渤海的黄河水平均年龄下降到1.2年。在没有潮汐强迫的情况下计算，水龄减少了 50% 以上，表明潮汐强迫在控制渤海黄河水年龄方面起着最主要的作用。在没有风的情况下，水龄增加了 20-30%，这表明风力强迫是黄河水龄的次要因素。黄河流量变化和热分层变化对黄河水龄的影响有限。</p>","/Users/yulong/Zotero/storage/JIFV5UP2/Liu et al. - 2012 - The age of Yellow River water in the Bohai Sea.pdf","","{method: CART}; {method: particle tracking}; {site: Yellow River}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4K7A48QU","journalArticle","2014","Sun, Jian; Lin, Binliang; Li, Kaiming; Jiang, Guoqiang","A modelling study of residence time and exposure time in the Pearl River Estuary, China","JOURNAL OF HYDRO-ENVIRONMENT RESEARCH","","1570-6443","10.1016/j.jher.2013.06.003","","This paper presents an investigation into two transport timescales, i.e. the residence time and exposure time, of a conservative matter in the Pearl River Estuary (PRE) using a depth integrated hydrodynamic-dispersion model. The model has been verified against field measured tidal and salinity data in three typical seasons, including the wet, dry and average rainfall seasons. The model predicted distributions of tidal wave amplitude and salinity level agree generally well with the field measurements. The model is then enhanced by including capabilities for calculating the two timescales. The numerical model predictions show that both the freshwater discharge and tidal water elevation affect significantly the values of residence time and exposure time. The return coefficient is found to be about 0.5. Using a regression analysis, an exponential function has beenderived to correlate the timescales to the freshwater discharge. In the dry season the average residence time and exposure time are up to about 6 days and 12 days, while in the wet season these values are reduced to 3 days and 5 days, respectively. Generally, in all three types of seasons, the exposure time is about two times greater than the residence time, which demonstrates that there is a high possibility for water to re-enter the PRE after leaving the estuary. Both the residence time and exposure time decrease as the initial water elevation increases, which indicates that a contaminant will stay in the PRE for a longer time if it is released at a low tide. The effects of monthly averaged wind forcing on the resident time and exposure time are also investigated. (C) 2013 International Association for Hydro-environment Engineering and Research, Asia Pacific Division. Published by Elsevier B.V. All rights reserved.","2014-08","2021-10-08 06:36:29","2021-10-09 12:53:51","","281-291","","3","8","","","","","","","","","","","","","","WOS:000345488000011","","","","<p>本文使用深度集成的水动力扩散模型对珠江口 (PRE) 中保守物质的两个运输时间尺度，即停留时间和暴露时间进行了调查。该模型已经在三个典型季节（包括雨季、旱季和平均雨季）的现场测量潮汐和盐度数据进行了验证。模型预测的潮汐波幅值和盐度分布与现场测量结果基本吻合。然后通过包括计算两个时间尺度的功能来增强模型。数值模型预测表明，淡水流量和潮汐水位均显着影响停留时间和暴露时间的值。发现返回系数约为0.5。使用回归分析，导出了一个指数函数来将时间尺度与淡水排放相关联。在旱季，平均停留时间和暴露时间可达约 6 天和 12 天，而在雨季，这些值分别减少到 3 天和 5 天。一般来说，在所有三种季节中，暴露时间都比停留时间长两倍左右，这表明水离开河口后重新进入PRE的可能性很大。停留时间和暴露时间都随着初始水位升高而减少，这表明如果污染物在低潮时释放，它会在 PRE 中停留更长的时间。还研究了月平均风力对驻留时间和暴露时间的影响。 (C) 2013 年国际水文环境工程与研究协会亚太分部。由 Elsevier B.V. 出版。保留所有权利。</p>","/Users/yulong/Zotero/storage/4VQJLIC8/Sun et al. - 2014 - A modelling study of residence time and exposure t.pdf","","{index: exposure time}; {index: residence time}; {index: return coefficient}; {method: particle tracer}; {site: Pearl River Estuary}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TP6GRKUQ","journalArticle","2020","Gao, Guanghai; Xia, Junqiang; Falconer, Roger A.; Wang, Yingying","Modelling Study of Transport Time Scales for a Hyper-Tidal Estuary","WATER","","2073-4441","10.3390/w12092434","","This paper presents a study of two transport timescales (TTS), i.e., the residence time and exposure time, of a hyper-tidal estuary using a widely used numerical model. The numerical model was calibrated against field measured data for various tidal conditions. The model simulated current speeds and directions generally agreed well with the field data. The model was then further developed and applied to study the two transport timescales, namely the exposure time and residence time for the hyper-tidal Severn Estuary. The numerical model predictions showed that the inflow from the River Severn under high flow conditions reduced the residence and exposure times by 1.5 to 3.5% for different tidal ranges and tracer release times. For spring tide conditions, releasing a tracer at high water reduced the residence time and exposure time by 49.0% and 11.9%, respectively, compared to releasing the tracer at low water. For neap tide conditions, releasing at high water reduced the residence time and exposure time by 31.6% and 8.0%, respectively, compared to releasing the tracer at low water level. The return coefficient was found to be vary between 0.75 and 0.88 for the different tidal conditions, which indicates that the returning water effects for different tidal ranges and release times are all relatively high. For all flow and tide conditions, the exposure times were significantly greater than the residence times, which demonstrated that there was a high possibility for water and/or pollutants to re-enter the Severn Estuary after leaving it on an ebb tide. The fractions of water and/or pollutants re-entering the estuary for spring and neap tide conditions were found to be very high, giving 0.75-0.81 for neap tides, and 0.79-0.88 for spring tides. For both the spring and neap tides, the residence and exposure times were lower for high water level release. Spring tide conditions gave significantly lower residence and exposure times. The spatial distribution of exposure and residence times showed that the flow from the River Severn only had a local effect on the upstream part of the estuary, for both the residence and exposure time.","2020-09","2021-10-08 06:36:30","2021-10-08 13:41:46","","","","9","12","","","","","","","","","","","","","","WOS:000580689200001","","","","<p>本文介绍了使用广泛使用的数值模型研究超潮河口的两个运输时间尺度 (TTS)，即停留时间和暴露时间。数值模型根据各种潮汐条件下的现场测量数据进行校准。模型模拟的水流速度和方向与现场数据基本吻合。该模型随后被进一步开发并应用于研究两个运输时间尺度，即超潮的塞文河口的暴露时间和停留时间。数值模型预测表明，对于不同的潮汐范围和示踪剂释放时间，在高流量条件下，来自塞文河的流入使停留时间和暴露时间减少了 1.5% 至 3.5%。对于大潮条件，与在低水位释放示踪剂相比，在高水位释放示踪剂分别减少了 49.0% 和 11.9% 的停留时间和暴露时间。在小潮条件下，与在低水位释放示踪剂相比，在高水位释放可分别减少 31.6% 和 8.0% 的停留时间和暴露时间。发现不同潮汐条件下的回水系数在0.75～0.88之间变化，说明不同潮差和放流时间的回水效应均较高。对于所有流量和潮汐条件，暴露时间明显大于停留时间，这表明水和/或污染物在退潮后重新进入塞文河口的可能性很高。发现在春季和小潮条件下重新进入河口的水和/或污染物的比例非常高，小潮为 0.75-0.81，大潮为 0.79-0.88。对于春潮和小潮，高水位释放的停留时间和暴露时间都较低。大潮条件显着降低了停留时间和暴露时间。暴露时间和停留时间的空间分布表明，来自塞文河的流量仅对河口上游部分的停留时间和暴露时间产生局部影响。</p>","/Users/yulong/Zotero/storage/BE5LWQWG/Gao et al. - 2020 - Modelling Study of Transport Time Scales for a Hyp.pdf","","{index: exposure time}; {index: residence time}; {method: tracer}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TU3LQKNZ","journalArticle","2017","Liu, Rui; Zhang, Xueqing; Liang, Bingchen; Xin, Li; Zhao, Yang","Numerical Study on the Influences of Hydrodynamic Factors on Water Age in the Liao River Estuary, China","JOURNAL OF COASTAL RESEARCH","","0749-0208","10.2112/SI80-014.1","","The concept of water age (WA) is applied to the Liao River Estuary to estimate the timescale quantifying transport processes. A series of numerical experiments under different hydrodynamic conditions based on a real-time calibrated three-dimensional model have been conducted to investigate the influences of runoff, tide and wind on WA distribution. The model result shows that the WA distribution in a real situation can be estimated roughly by the real-time monitoring runoff with a natural logarithmic function. The influences of tide on WA distribution in the river channel and outside the mouth of estuary are reverse. The variation of tidal forcing affects the fluctuation range of WA in a semidiurnal tidal cycle. The wind-induced estuarine circulation as well as the WA distribution is varied significantly under different seasonal winds. In addition, the vertical difference of WA is more pronounced during neap tide in the rainy season, and it is reduced under wind conditions.","2017","2021-10-08 06:36:31","2021-10-09 08:01:26","","98-107","","","","","","","","","","","","","","","","","WOS:000405827600014","","","","<p>将水龄 (WA) 的概念应用于辽河口以估计量化运输过程的时间尺度。 基于实时校准的三维模型，在不同水动力条件下进行了一系列数值实验，研究了径流、潮汐和风对WA分布的影响。 模型结果表明，利用自然对数函数实时监测径流可以粗略估计真实情况下的WA分布。 潮汐对河道内和河口外WA分布的影响是相反的。 潮汐强迫的变化影响半日潮汐周期中WA的波动范围。 风引起的河口环流以及WA分布在不同季节风下有显着差异。 此外，雨季小潮时WA的垂直差异更为明显，在有风条件下减小。</p>","/Users/yulong/Zotero/storage/8DTICSXM/Liu et al. - 2017 - Numerical Study on the Influences of Hydrodynamic .pdf","","{index: water age}; {model: FVCOM}; {site: Liao River Estuary}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49WANQ8D","journalArticle","2018","Gao, Xueping; Zhao, Guixia; Zhang, Chen; Wang, Yan","Modeling the exposure time in a tidal system: the impacts of external domain, tidal range, and inflows","ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH","","0944-1344","10.1007/s11356-018-1426-3","","Exposure time is an important characteristic for hydrodynamics that has simultaneous impacts on the biochemical processes in tidal systems. To eliminate man-made errors, decrease computational effort, and increase simulation efficiency, exposure time was evaluated under different hydrodynamic conditions for a bay to investigate the impact of the external domain on the accuracy of the computational results for exposure time. The exposure time was explicitly defined and computed using a hydrodynamic model and tracer experiments for a set of ten external domain sizes (EDS), five external domain lengths (EDL), and three special hydrodynamic conditions. The results indicated that the external domain had a significant influence on the exposure time, and the intensity of this influence was related to hydrodynamic conditions. The sensitivity of the exposure time to the external domain increased with increasing tidal range, while freshwater inflows decreased this sensitivity. However, the variation trends for exposure time with different EDS and EDL were independent of the hydrodynamic conditions. Considering the computational efficiency (maximum), the calculated error (minimum) of the exposure time, and the impact of the boundary conditions (minimum), the recommended EDS and EDL range from 9 to 13 times the initial domain size and 1.30 to 1.45 times the length in the bay, respectively. The research regarding exposure time and external domains not only helps to eliminate the errors caused by man-made factors and reduce the computational effort but also provides a reference for understanding the interrelationship between coastal waters, reciprocating flow, and the water environment.","2018-04","2021-10-08 06:36:31","2021-10-08 13:39:17","","11128-11142","","11","25","","","","","","","","","","","","","","WOS:000429810200088","","","","<p>暴露时间是流体动力学的一个重要特征，它同时影响潮汐系统中的生化过程。为了消除人为错误，减少计算工作量并提高模拟效率，我们评估了海湾在不同水动力条件下的暴露时间，以研究外部域对暴露时间计算结果准确性的影响。暴露时间是使用流体动力学模型和示踪剂实验明确定义和计算的，用于一组十个外部域大小 (EDS)、五个外部域长度 (EDL) 和三个特殊的流体动力学条件。结果表明，外域对暴露时间有显着影响，这种影响的强度与水动力条件有关。暴露时间对外部域的敏感性随着潮差的增加而增加，而淡水流入降低了这种敏感性。然而，不同 EDS 和 EDL 的暴露时间变化趋势与水动力条件无关。考虑到计算效率（最大值）、曝光时间的计算误差（最小值）以及边界条件的影响（最小值），推荐的 EDS 和 EDL 范围为初始域大小的 9 至 13 倍和 1.30 至 1.45 倍分别为海湾中的长度。对暴露时间和外部域的研究不仅有助于消除人为因素造成的误差，减少计算量，而且为理解近岸水域、往复流和水环境之间的相互关系提供参考。</p>","/Users/yulong/Zotero/storage/IYI4YF2Q/Gao et al. - 2018 - Modeling the exposure time in a tidal system the .pdf","","{index: exposure time}; {method: tracer}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y7QHEQ2G","journalArticle","2006","Shen, Jian; Lin, Jing","Modeling study of the influences of tide and stratification on age of water in the tidal James River","ESTUARINE COASTAL AND SHELF SCIENCE","","0272-7714","10.1016/j.ecss.2006.01.014","","The concept of the age of water parcels is applied to the tidal James River estuary, a western branch of the Chesapeake Bay, to compute the timescale quantifying transport processes of a dissolved substance in the estuary. The age is defined in this study as the time elapsed since a water parcel entered the headwater of the estuary. A theoretical deduction shows that the vertical age profile can be explained by the extended Hansen and Rattray's Central Region theory, which is mainly controlled by gravitational circulation in the estuary. The age distributions in the James River under different hydrological and hydrodynamic conditions are then calculated through a series of model simulations using a real-time three-dimensional hydrodynamic model. The influences of tide, freshwater inflow, and density-induced circulation on age distribution have been investigated. The model results show that the vertical age distribution resembles the stratification pattern of the salinity in the regions where stratification persists. The age difference between the surface and bottom is larger during neap tide than during spring tide. The vertical difference is about 5 days under mean river flow conditions. The model results indicate that river flow is one of the dominant factors that influence mean age distribution. It takes 95 and 35 days, respectively, for a water parcel discharged into the estuary to be transported out of the estuary under mean,and high flow conditions. The tidal influence is more significant in the downstream portions of the estuary. The density-induced circulation contributes to the long-term transport substantially in the downstream estuary where the stratification persists. The influence of density-induced circulation on age distribution can be more than 45 days under the mean flow condition. The results provide useful information for understanding the characteristics of the transport processes and the influences of gravitational circulation on long-term transport processes in the estuary: (c) 2006 Elsevier Ltd. All rights reserved.","2006-06","2021-10-08 06:36:31","2021-10-08 13:37:47","","101-112","","1-2","68","","","","","","","","","","","","","","WOS:000238604500010","","","","<p>水块年龄的概念应用于潮汐詹姆斯河河口，切萨皮克湾的西部分支，以计算量化河口中溶解物质的运输过程的时间尺度。在本研究中，年龄定义为自水块进入河口源头以来经过的时间。理论推论表明，垂直年龄剖面可以用扩展的汉森和拉特雷的中央区域理论来解释，该理论主要受河口重力环流控制。然后使用实时三维水动力模型通过一系列模型模拟计算詹姆斯河在不同水文和水动力条件下的年龄分布。潮汐、淡水流入量和密度引起的环流对年龄分布的影响已得到研究。模型结果表明，垂直年龄分布类似于分层持续地区的盐度分层模式。小潮时的表底年龄差大于大潮。在平均河流流量条件下，垂直差异约为 5 天。模型结果表明，河流流量是影响平均年龄分布的主要因素之一。一个排入河口的水包在平均、高流量条件下运出河口分别需要95天和35天。潮汐影响在河口下游部分更为显着。在分层持续存在的下游河口，密度引起的环流对长期运输有很大贡献。在平均流量条件下，密度诱导环流对年龄分布的影响可达45天以上。结果为了解运输过程的特征以及重力环流对河口长期运输过程的影响提供了有用的信息：(c) 2006 Elsevier Ltd. 版权所有。</p>","/Users/yulong/Zotero/storage/DZILZUV7/Shen and Lin - 2006 - Modeling study of the influences of tide and strat.pdf","","{index: water age}; {site: Chesapeake Bay}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
